t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0,0,0,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0001,0,0.78,0,0.12,0.05,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0002,0,1.55805,0,0.12,0.1,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0003,0,2.334154875,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0004,0,3.1083194878125,0,0.12,0.2,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0005,0,3.88054868909297,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0006,0,4.65084731737024,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0007,0,5.41922019907681,0,0.12,0.35,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0008,0,6.18567214857912,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0009,0,6.95020796820767,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.001,0,7.71283244828715,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0011,0,8.47355036716644,0,0.12,0.55,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0012,0,9.23236649124852,0,0.12,0.6,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0013,0,9.9892855750204,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0014,0,10.7443123610828,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0015,0,11.4974515801801,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0016,0,12.2487079512297,0,0.12,0.8,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0017,0,12.9980861813516,0,0.12,0.85,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0018,0,13.7455909658982,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0019,0,14.4912269884835,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
