t,scenarioIndex,scenarioName,ah,bh,ch,al,bl,cl,aState,bState,cState,shootThrough
0,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
5e-05,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0001,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00015,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0002,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00025,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0003,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00035,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0004,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00045,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0005,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00055,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0006,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00065,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0007,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00075,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0008,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00085,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0009,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00095,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.001,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00105,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0011,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00115,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0012,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00125,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0013,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00135,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0014,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00145,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0015,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00155,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0016,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00165,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0017,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00175,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0018,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00185,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.0019,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
0.00195,1,normal_AH_BL,1,0,0,0,1,0,1,-1,0,0
