time_s,phase_cmd_a,phase_cmd_b,phase_cmd_c,ia_A,ib_A,ic_A,vab_V,vbc_V,vca_V,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm
0.0,0.0,1.0,-1.0,0.0,0.0,0.0,-24.0,48.0,-24.0,0.0,0.0,0.0,0.0,0.0
1e-05,0.0,1.0,-1.0,0.0,0.08444926290463216,-0.08444926290463216,-23.999999999999932,48.0,-24.000000000000064,6.502148126638379e-14,6.731226385824855e-05,-6.731226386181358e-05,-0.0001686085418657652,-0.06742803187216134
2e-05,0.0,1.0,-1.0,0.0,0.168782756642259,-0.168782756642259,-23.99999999999786,48.0,-24.00000000000214,2.0790257364217735e-12,0.0002691261318875639,-0.00026912613200155304,-0.000674126259956169,-0.1347636285138167
3.0000000000000004e-05,0.0,1.0,-1.0,0.0,0.2530001663195567,-0.2530001663195567,-23.99999999998379,48.0,-24.00000000001621,1.577497264672499e-11,0.0006052568417864497,-0.0006052568426513622,-0.0015160903491971808,-0.2020065385001893
4e-05,0.0,1.0,-1.0,0.0,0.33710117812412244,-0.33710117812412244,-23.999999999931756,48.0,-24.000000000068237,6.642234101924939e-11,0.0010755191298171352,-0.0010755191334589492,-0.002694036749548429,-0.2691565112695577
5e-05,0.0,1.0,-1.0,0.0,0.4210854793247587,-0.4210854793247587,-23.9999999997919,48.0,-24.000000000208097,2.025422123200881e-10,0.0016797272323170532,-0.001679727243422068,-0.004207500150319046,-0.33621329712348236
6.000000000000001e-05,0.0,1.0,-1.0,0.0,0.5049527582717511,-0.5049527582717511,-23.999999999482608,48.0,-24.000000000517392,5.035846831814893e-10,0.0024176948872118025,-0.0024176949148224194,-0.006056013994484637,-0.40317664722702795
7.000000000000001e-05,0.0,1.0,-1.0,0.0,0.5887027043971393,-0.5887027043971393,-23.999999998882615,48.0,-24.00000000111739,1.087568498600685e-09,0.0032892353355295765,-0.003289235395158946,-0.00823911048300534,-0.4700463136089795
8e-05,0.0,1.0,-1.0,0.0,0.6723350082149823,-0.6723350082149823,-23.999999997823238,48.0,-24.00000000217676,2.1186827990853835e-09,0.0042941613229170675,-0.004294161439080527,-0.010756320579144961,-0.5368220491620542
9e-05,0.0,1.0,-1.0,0.0,0.7558493613216161,-0.7558493613216161,-23.999999996080565,48.0,-24.000000003919435,3.814850876336842e-09,0.005432285101156819,-0.005432285310318038,-0.013607174012791158,-0.6035036076431071
0.0001,0.0,1.0,-1.0,0.0,0.8392454563959061,-0.8392454563959061,-23.999999993367776,48.0,-24.00000000663222,6.4552558333961105e-09,0.006703418429686037,-0.0067034187836157765,-0.016791199284776622,-0.6700907436733327
0.00011,0.0,1.0,-1.0,0.0,0.9225229871994928,-0.9225229871994928,-23.999999989327392,48.0,-24.00000001067261,1.0387828046512455e-08,0.008107372577116839,-0.008107373146662239,-0.020307923671201277,-0.736583212738461
0.00012000000000000002,0.0,1.0,-1.0,0.0,1.0056816485770306,-1.0056816485770306,-23.999999983523672,48.0,-24.000000016476335,1.603669432732504e-08,0.00964395832275795,-0.009643959202020243,-0.02415687322775545,-0.8029807711889484
0.00013000000000000002,0.0,1.0,-1.0,0.0,1.0887211364564209,-1.0887211364564209,-23.999999975434953,48.0,-24.000000024565047,2.3909588685279676e-08,0.011312985958137801,-0.011312987269056331,-0.028337572794043923,-0.8692831762401636
0.00014000000000000001,0.0,1.0,-1.0,0.0,1.171641147849038,-1.171641147849038,-23.999999964446104,48.0,-24.00000003555389,3.460522459153219e-08,0.01311426528852909,-0.013114267185869553,-0.032849545997911005,-0.9354901859725681
0.00015000000000000001,0.0,1.0,-1.0,0.0,1.254441380849949,-1.254441380849949,-23.999999949840994,48.0,-24.00000005015901,4.8820628646917607e-08,0.01504760563447471,-0.015047608311219486,-0.03769231525976639,-1.0016015593318917
0.00016,0.0,1.0,-1.0,0.0,1.3371215346381284,-1.3371215346381284,-23.999999930794992,48.0,-24.00000006920501,6.735843555789183e-08,0.017112815833315136,-0.017112819526453583,-0.042865401796911985,-1.0676170561293037
0.00017,0.0,1.0,-1.0,0.0,1.4196813094766643,-1.4196813094766643,-23.999999906367496,48.0,-24.0000000936325,9.113414432567725e-08,0.01930970424071715,-0.019309709237433734,-0.04836832562786944,-1.1335364370415784
0.00018,0.0,1.0,-1.0,0.0,1.502120406712959,-1.502120406712959,-23.999999875494538,48.0,-24.000000124505465,1.211833355551687e-07,0.02163807873220401,-0.021638085376462182,-0.054200605576708666,-1.1993594636112535
0.00019,0.0,1.0,-1.0,0.0,1.5844385287789244,-1.5844385287789244,-23.999999836981385,48.0,-24.00000016301861,1.5866884979147808e-07,0.024097746704686982,-0.024097755404206566,-0.06036175927737697,-1.2650858982467883
0.0002,0.0,1.0,-1.0,0.0,1.6666353791911699,-1.6666353791911699,-23.99999978949526,48.0,-24.000000210504737,2.0488792679331867e-07,0.026688515077998225,-0.026688526311624317,-0.06685130317802908,-1.3307155042227117
0.00021,0.0,1.0,-1.0,0.0,1.7487106625511837,-1.7487106625511837,-23.99999973155796,48.0,-24.000000268442044,2.6127930565374907e-07,0.029410190296425075,-0.029410204621886173,-0.07366875254535785,-1.3962480456797681
0.00022,0.0,1.0,-1.0,0.0,1.8306640845455084,-1.8306640845455084,-23.999999661538684,48.0,-24.000000338461316,3.2943028568011624e-07,0.032262578330245706,-0.032262596392298996,-0.08081362146892568,-1.4616832876250583
0.00023,0.0,1.0,-1.0,0.0,1.9124953519459111,-1.9124953519459111,-23.999999577646772,48.0,-24.000000422353228,4.110837479463557e-07,0.0352454846772661,-0.0352455072162277,-0.08828542286549666,-1.5270209959321734
0.00024000000000000003,0.0,1.0,-1.0,0.0,1.9942041726095456,-1.9942041726095456,-23.999999477924536,48.0,-24.00000052207546,5.081451374321207e-07,0.03835871436435833,-0.038358742225016396,-0.09608366848336934,-1.5922609373413246
0.00025,0.0,1.0,-1.0,0.0,2.0757902554791072,-2.0757902554791072,-23.99999936024014,48.0,-24.000000639759858,6.226894056645276e-07,0.04160207194900035,-0.04160210608990877,-0.10420786890671006,-1.6574028794594704
0.00026000000000000003,0.0,1.0,-1.0,0.0,2.1572533105829867,-2.1572533105829867,-23.999999222280508,48.0,-24.000000777719492,7.569679137796281e-07,0.04497536152081689,-0.044975403023967526,-0.11265753355988724,-1.7224465907604336
