time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.0,0.0,0.0,0.0,0.0,-119.76664369760206,119.76664369760206,300.0,0.0,0.0,1.0,-1.0
0.0002,0.0,4.444591788038749,-4.444591788038749,12.450728857162032,-119.93293735540921,119.31869834845895,299.63930823034906,-3.5488529912997127,0.0,-1.0,1.0
0.0004,0.0,4.406517694594088,-4.406517694594088,25.52321834492335,-119.95244525269696,119.06729575018953,299.24107954128914,-3.5197196845468177,0.0,-1.0,1.0
0.0006000000000000001,0.0,4.3645719737752655,-4.3645719737752655,39.58708043075312,-119.80839599033602,119.19944312783062,298.84267597423406,-3.490689248873138,0.0,-1.0,1.0
0.0008,0.0,4.327043037320694,-4.327043037320694,54.52468940685146,-119.55204189238493,119.7281258012389,298.44348168530627,-3.4692517917994765,0.0,-1.0,1.0
0.001,0.0,4.300642775364031,-4.300642775364031,69.71439524681566,-119.26498017035641,120.40102165924762,298.04293465782877,-3.4582865064464463,0.0,-1.0,1.0
0.0012000000000000001,0.0,4.281541530858796,-4.281541530858796,84.18396211266017,-119.00932205502055,120.66684281284252,297.6412429719603,-3.447719286454493,0.0,-1.0,1.0
0.0014,0.0,4.24597054227263,-4.24597054227263,96.87811163009061,-118.80450360769163,119.74597775461365,297.24019820380425,-3.4076088053703257,0.0,-1.0,1.0
0.0016,0.0,4.144491822629627,-4.144491822629627,106.94859453712768,-118.63570656613766,116.80019411644327,296.84372714623873,-3.287124085501368,0.0,-1.0,1.0
0.0018000000000000002,-2.7851865212013562,5.295515648515591,-2.510329127314235,113.96841286852805,-118.47631121679287,111.15205655562836,296.4459542333776,-4.128390605594383,-1.0,-1.0,0.0
0.002,-4.313529135982986,4.313529135982986,0.0,118.01133280117324,-118.30955203671662,102.49163601680948,296.022389324861,-3.443580820067068,1.0,-1.0,0.0
0.0022,-4.219427535170069,4.219427535170069,0.0,119.6266670767631,-118.17233147394265,91.02658781555859,295.62407382403103,-3.3940931445182985,1.0,-1.0,0.0
0.0024000000000000002,-4.141838257076749,4.141838257076749,0.0,119.59861668659691,-118.07744263702975,77.4078180919754,295.2239966820546,-3.3344707962815763,1.0,-1.0,0.0
0.0026000000000000003,-4.0455564478370345,4.0455564478370345,0.0,118.7637361254052,-118.0290550123111,62.60840194277442,294.8250518450882,-3.2492442449967336,1.0,-1.0,0.0
0.0028,-4.643279158235403,4.643279158235403,0.0,117.80078753673479,-117.99044681567966,47.65524019742202,294.42754453175826,-3.718553323210121,-1.0,1.0,0.0
0.003,-5.84102857106963,5.84102857106963,0.0,117.11478572846849,-117.8886892876153,33.35693661348729,294.02643872813326,-4.668498580628673,-1.0,1.0,0.0
0.0032,-5.84519302378292,5.84519302378292,0.0,116.82859635069359,-117.653246900497,20.104964683948392,293.6219269385054,-4.667879026155525,1.0,-1.0,0.0
0.0034000000000000002,-5.65622640294268,5.65622640294268,0.0,116.8547923863535,-117.26479055594126,7.808592707695443,293.2183195925615,-4.516202699490984,1.0,-1.0,0.0
0.0036000000000000003,-5.457171313443891,5.457171313443891,0.0,117.00731885275104,-116.78983675510025,-4.012285280992517,292.81576718508364,-4.357248733608966,1.0,-1.0,0.0
0.0038,-5.248699012043474,5.248699012043474,0.0,117.11226275010776,-116.38213047374107,-16.007811716292803,292.4144206124339,-4.191112697058259,1.0,-1.0,0.0
0.004,-5.032673347386515,5.032673347386515,0.0,117.0751318764527,-116.23000735923259,-28.72769518202047,292.01434901294556,-4.0208591119187815,1.0,-1.0,0.0
0.004200000000000001,-4.814708896597387,4.814708896597387,0.0,116.89371486899172,-116.45960236026573,-42.388204455569834,291.61535426019117,-3.8527748148396883,1.0,-1.0,0.0
0.0044,-4.602933958979656,4.602933958979656,0.0,116.62765793023321,-117.02489275651884,-56.75170844761888,291.2169498434928,-3.693079200013117,1.0,-1.0,0.0
0.0046,-4.4022541892173725,4.4022541892173725,0.0,116.3504286763381,-117.62852415879485,-71.15513857243151,290.8186882534459,-3.541845372775672,1.0,-1.0,0.0
0.0048000000000000004,-4.2057618992071095,4.2057618992071095,0.0,116.11044745675753,-117.71373435656552,-84.67438347928935,290.42087589414814,-3.3861506407073176,1.0,-1.0,0.0
0.005,-4.100274156595747,4.100274156595747,0.0,115.9175663321039,-116.54683162806349,-96.36851146183889,290.02548052492705,-3.2864966262946704,-1.0,1.0,0.0
0.005200000000000001,-5.973408181169221,5.973408181169221,0.0,115.75067788724776,-113.37365199992406,-105.52084129944772,289.62553918390716,-4.725595506906857,1.0,-1.0,0.0
0.0054,-5.409794535589445,1.1009714787689795,4.308823056820465,115.59380769724997,-107.62743676369934,-111.82021748603306,289.2334554199061,-4.237570017553888,1.0,0.0,1.0
0.0056,-5.703717046602778,0.0,5.703717046602778,115.43624039656319,-99.08182941660368,-115.395349971376,288.83103901719966,-4.558367692599832,-1.0,0.0,1.0
0.0058000000000000005,-5.765977336089893,0.0,5.765977336089893,115.29647155537901,-87.96004119572164,-116.763349987789,288.4226726113945,-4.63920419126617,1.0,0.0,-1.0
0.006,-5.507077471163733,0.0,5.507077471163733,115.19819600726204,-74.89560114457373,-116.66003089345945,288.01516336764587,-4.433312478895576,1.0,0.0,-1.0
0.006200000000000001,-5.230877546451091,0.0,5.230877546451091,115.14315186386364,-60.78157823777492,-115.84097925258614,287.6101587883838,-4.200998011104855,1.0,0.0,-1.0
0.0064,-4.925544139112868,0.0,4.925544139112868,115.097118256014,-46.54742682471359,-114.91546235385673,287.2087402449664,-3.944647079259736,1.0,0.0,-1.0
0.0066,-4.593600922589714,0.0,4.593600922589714,114.99575536159604,-32.92437239009295,-114.25023710193518,286.8114569479626,-3.6716266975050917,1.0,0.0,-1.0
0.0068000000000000005,-4.243023486688925,0.0,4.243023486688925,114.77457024081107,-20.273022983935206,-113.959862410832,286.4184452031841,-3.3884883680131033,1.0,0.0,-1.0
0.007,-4.83969201484187,0.0,4.83969201484187,114.41093178452522,-8.5265154150501,-113.96812186670681,286.0279662679056,-3.8642524950785964,-1.0,0.0,1.0
0.007200000000000001,-5.790010528694492,0.0,5.790010528694492,113.95182292748143,2.7330903657490335,-114.1008390273235,285.62123405943106,-4.623001221051991,1.0,0.0,-1.0
0.0074,-5.40245389502157,0.0,5.40245389502157,113.53754653358877,14.090435188103315,-114.20275942859655,285.2153530017808,-4.313780762675599,1.0,0.0,-1.0
0.0076,-5.007816614571237,0.0,5.007816614571237,113.34059360990456,26.066803775296606,-114.17995553630239,284.8138489543891,-4.000441658134435,1.0,0.0,-1.0
0.0078000000000000005,-4.610889167766894,0.0,4.610889167766894,113.48954613164331,38.91025999057068,-114.01997496526296,284.41664576128267,-3.688325567519793,1.0,0.0,-1.0
0.008,-4.21922021772783,0.0,4.21922021772783,113.97497973153719,52.47558212569404,-113.77073043917568,284.0233082761628,-3.383205803372795,1.0,0.0,-1.0
0.0082,-5.1294828300680235,0.0,5.1294828300680235,114.57288052711013,66.22691324935748,-113.49843909328516,283.63009309118434,-4.124696026693001,-1.0,0.0,1.0
0.008400000000000001,-5.74504243267166,0.0,5.74504243267166,114.81940446586319,79.3562772591258,-113.24655081303747,283.2190854543021,-4.626272231701321,1.0,0.0,-1.0
0.0086,-5.352212663707501,0.0,5.352212663707501,114.08620999397793,90.99865085442609,-113.039606739011,282.81061768487103,-4.298373528280167,1.0,0.0,-1.0
0.0088,-4.9082347340113515,0.0,4.9082347340113515,111.6834424316625,100.43766594739698,-112.86737566482834,282.40946883854133,-3.9026599549393275,1.0,0.0,-1.0
0.009000000000000001,-4.219823763856582,-0.262696673855028,4.48252043771161,107.03180537575925,107.2775363065354,-112.71146307992421,282.0214244755677,-3.4928844375284953,0.0,-1.0,-1.0
0.0092,0.0,-4.49840745224956,4.49840745224956,99.80623071192294,111.50148554206653,-112.54772445042593,281.6092895734146,-3.57894669393748,0.0,1.0,-1.0
0.0094,0.0,-4.033297767024268,4.033297767024268,90.0861707608058,113.49105984799611,-112.40452583104675,281.21941993580015,-3.239833726660555,0.0,1.0,-1.0
0.009600000000000001,0.0,-5.890535807579087,5.890535807579087,78.3044283131321,113.84329159512902,-112.28735203995022,280.8152784175518,-4.7434408164313195,0.0,1.0,-1.0
0.0098,0.0,-5.439575601467242,5.439575601467242,65.20059567547331,113.25621614005479,-112.20974505945425,280.40432794098956,-4.373823865373113,0.0,1.0,-1.0
0.01,0.0,-4.9642007375427495,4.9642007375427495,51.63091470270431,112.35506842355896,-112.16008241671297,280.0003174055903,-3.9804893355758297,0.0,1.0,-1.0
0.0102,0.0,-4.462084461030354,4.462084461030354,38.35804761481192,111.57321230070659,-112.09027126621784,279.6042499473082,-3.5693497316724154,0.0,1.0,-1.0
0.010400000000000001,0.0,-4.393291829305411,4.393291829305411,25.87663213444976,111.11631358958374,-111.93752395108089,279.21621979167344,-3.5096120228751886,0.0,-1.0,1.0
0.0106,0.0,-5.706900419526496,5.706900419526496,14.313333425013804,110.97944028375329,-111.64707947352457,278.8087313457349,-4.556913884540613,0.0,1.0,-1.0
0.0108,0.0,-5.151890539073059,5.151890539073059,3.442698914518674,111.05119508245211,-111.23820022239235,278.4030752422901,-4.1134985007282685,0.0,1.0,-1.0
0.011000000000000001,0.0,-4.589634747361044,4.589634747361044,-7.206586056596579,111.17626537147906,-110.79701479493914,278.0060597246055,-3.6645829973875648,0.0,1.0,-1.0
0.0112,0.0,-4.0207785570075245,4.0207785570075245,-18.164953691416148,111.22994090831085,-110.46541748295012,277.61798291456995,-3.2108436703179377,0.0,1.0,-1.0
0.0114,0.0,-5.757253813467295,5.757253813467295,-29.820556996754082,111.14682403404541,-110.38241648549983,277.2134857983843,-4.600786506119894,0.0,1.0,-1.0
0.011600000000000001,0.0,-5.173395913707393,5.173395913707393,-42.270071262605406,110.94566303950829,-110.63282419463447,276.80632429977175,-4.141210441352351,0.0,1.0,-1.0
0.0118,0.0,-4.597826241400929,4.597826241400929,-55.25493565825952,110.68498380386687,-111.15171085637009,276.40756155609654,-3.6900820305796227,0.0,1.0,-1.0
0.012,0.0,-4.034133596524359,4.034133596524359,-68.19979738541791,110.42363852611761,-111.66988565977677,276.0167272749833,-3.24601684953757,0.0,1.0,-1.0
0.0122,0.0,-5.783279459704578,5.783279459704578,-80.3379199620923,110.189106201918,-111.71090111878149,275.60994073290067,-4.656253511878147,0.0,1.0,-1.0
0.012400000000000001,0.0,-5.195920291687987,5.195920291687987,-90.90819454527393,109.99309593577115,-110.68111661820913,275.2002795922125,-4.166440603041961,0.0,1.0,-1.0
0.0126,0.0,-4.54907879684448,4.54907879684448,-99.32978394868125,109.82725128874998,-107.97532203913995,274.80388312524957,-3.6054842346331903,0.0,1.0,-1.0
0.0128,2.465529137568563,-5.014465297063414,2.5489361594948514,-105.32020450062275,109.67258087374174,-103.11156247852693,274.41767006309794,-3.9080725873762514,1.0,1.0,0.0
0.013000000000000001,4.731908822350826,-4.731908822350826,0.0,-108.93533978118266,109.51299777882173,-95.85991597819942,274.0143063440304,-3.772349077388147,1.0,-1.0,0.0
0.0132,5.55610275153244,-5.55610275153244,0.0,-110.55165958947036,109.3634031366679,-86.33990478203815,273.6027703666083,-4.465856407370824,-1.0,1.0,0.0
0.0134,4.927420325704958,-4.927420325704958,0.0,-110.74417746036478,109.24723489768398,-75.0001890780323,273.19638968770556,-3.967805570098177,-1.0,1.0,0.0
0.013600000000000001,4.291355166134325,-4.291355166134325,0.0,-110.13904988178724,109.17429805531204,-62.52324322715007,272.8009696207656,-3.4499564645258696,-1.0,1.0,0.0
0.013800000000000002,5.960283158807091,-5.960283158807091,0.0,-109.27708049864037,109.12233853995329,-49.671743186301484,272.4053599266254,-4.778622489438578,-1.0,1.0,0.0
0.014,5.266412450224553,-5.266412450224553,0.0,-108.5291878906216,109.04021072623918,-37.11934422470165,271.9939193485244,-4.2126316367958925,-1.0,1.0,0.0
0.0142,4.554206575736212,-4.554206575736212,0.0,-108.08528996120957,108.88328645337151,-25.306587776672462,271.59611807635,-3.638195289513062,-1.0,1.0,0.0
0.014400000000000001,5.003818638787604,-5.003818638787604,0.0,-107.94890643695113,108.61136428346296,-14.345916278227522,271.2096529581633,-3.995537427345396,1.0,-1.0,0.0
0.0146,5.427226571495221,-5.427226571495221,0.0,-107.99934674258547,108.21773454227093,-4.037490970464432,270.79782873181705,-4.3333400945487,-1.0,1.0,0.0
