time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,48.0,-24.0,-24.0
0.0001,0,0.8393043318009202,-0.8393043318009202,0.0,1.613904915570567e-09,-0.003351827465365371,0.003351827376877949,0.008395895512237947,0.33506904196071574,1.0,-1.0,0.0,48.0,-24.00502774030261,-23.99497225969739
0.0002,0,1.6671031329280752,-1.6671031329280752,0.0,5.123357946107723e-08,-0.013346151708826538,0.013346148899784135,0.033430385687361175,0.665547114713387,1.0,-1.0,0.0,48.0,-24.02001919913741,-23.979980800862595
0.0003,0,2.4834371718577453,-2.4834371718577453,0.0,3.859496568203949e-07,-0.029891551597917922,0.02989153043701205,0.0748744560954833,0.9914562684746564,1.0,-1.0,0.0,48.0,-24.044837113261146,-23.955162886738858
0.0004,0,3.288348251146173,-3.288348251146173,0.0,1.6133837314701277e-06,-0.05289709686584627,0.05289700840700091,0.13250029641804853,1.312822582587012,1.0,-1.0,0.0,48.0,-24.079344750148056,-23.920655249851944
0.0005,0,4.081879176076604,-4.081879176076604,0.0,4.884223201992183e-06,-0.0822724311861787,0.08227216339326272,0.20608149669147308,1.6296759574482158,1.0,-1.0,0.0,48.0,-24.123405936874754,-23.87659406312525
0.0006,0,4.864073719377247,-4.864073719377247,0.0,1.205604007023613e-05,-0.11792785088193938,0.1179271898716262,0.2953932332140921,1.9420499091438839,1.0,-1.0,0.0,48.0,-24.17688508729257,-23.823114912707435
0.0007,0,5.634976582289638,-5.634976582289638,0.0,2.5848628736307904e-05,-0.1597743793312189,0.15977296209907085,0.40021244425590546,2.2499813669539743,1.0,-1.0,0.0,48.0,-24.23964722745031,-23.760352772549687
0.0008,0,6.39463335225774,-6.39463335225774,0.0,4.9991109882773246e-05,-0.20772383713494466,0.2077210962163871,0.5203179957187647,2.5535104738887067,1.0,-1.0,0.0,48.0,-24.31155801922892,-23.68844198077108
0.0009,0,7.143090457498878,-7.143090457498878,0.0,8.936105787816821e-05,-0.2616889081156319,0.26168400861964614,0.6554908369020553,2.8526803903946516,1.0,-1.0,0.0,48.0,-24.392483782148517,-23.607516217851476
0.001,1,7.88039511870828,-7.88039511870828,0.0,0.00015011591788316597,-0.32158320121872425,0.3215749706580006,0.8055141465356033,3.1475371013575133,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0011,1,8.333010229520513,-7.201651114103295,-1.1313591154172185,0.0002329974710473621,-0.37719348691614707,0.37718071214308224,0.9448050505997941,2.425506327780984,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0012,1,8.779481602393965,-6.530422831284889,-2.249058771109075,0.00033037474335123883,-0.4184768370173395,0.41845872329085787,1.0482078329187694,1.7120583261065263,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0013,1,9.219892338534105,-5.867106175727603,-3.3527861628065017,0.00043488621139446345,-0.4456070874800578,0.44558324369403796,1.1161584356793788,1.0074630349682843,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0014,1,9.654324612792603,-5.212085602148147,-4.442239010644456,0.0005372454494936136,-0.4587632784055539,0.458733822623661,1.1491059689524818,0.31197726533780634,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0015,1,10.08285972161002,-4.565734108292629,-5.5171256133173925,0.000627129289222747,-0.4581294184072851,0.45809503469423046,1.1475120594688775,-0.37415509267835323,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0016,1,10.50557810948295,-3.928413227415023,-6.577164882067927,0.0006940283023313741,-0.44389425209942757,0.44385620071499315,1.1118502097979117,-1.0507028605785453,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0017,1,10.922559375163729,-3.3004730197769283,-7.6220863553868,0.0007280584589817088,-0.41625103071862324,0.4162111138064083,1.0426051680445652,-1.7174473600342421,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0018,1,11.33388225880971,-2.6822520635053038,-8.651630195304406,0.000720732987582039,-0.375397285891662,0.3753577708502336,0.9402723081666254,-2.3741821995633394,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0019,1,11.739624611304086,-2.0740774451497543,-9.665547166154331,0.0006656936293654922,-0.3215346065615626,0.3214981093311759,0.8053570210001064,-3.020713059568989,1.0,0.0,-1.0,0.0,48.0,-48.0
0.002,2,12.139863346970946,-1.4762647502837531,-10.663598596687192,0.0005594006404187879,-0.2548684190846787,0.2548377496178236,0.638374116068486,-3.656857475986623,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0021,2,11.415575771099306,-0.32956887030133414,-11.086006900797972,0.0004017570448663149,-0.17559739367869764,0.17557536720336342,0.4398212432583562,-4.283494803069724,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0022,2,10.701120461802477,0.7985751541596037,-11.49969561596208,0.00019673492970388273,-0.08392294182960032,0.08391215579323306,0.21020263961646857,-4.899451995501856,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0023,2,9.996365045353198,1.9079885694113934,-11.904353614764592,-4.7025885017087655e-05,0.019939443512721196,-0.01993686530976781,-0.04994250601554039,-5.504522278504634,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0024,2,9.30117867617146,2.9985027811799574,-12.299681457351419,-0.00031571317512539467,0.13577003173146432,-0.13575272267144564,-0.34006474509700063,-6.098502090626345,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0025,2,8.615431886330837,4.069959423711076,-12.685391310041913,-0.0005898613797720465,0.26334490855882614,-0.26331256912688805,-0.6596045377362252,-6.6811913894456705,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0026,2,7.938996426113217,5.122210430979505,-13.061206857092722,-0.0008439146129001192,0.4024360372949493,-0.4023897689945599,-1.0079924360882682,-7.252393947839143,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0027,2,7.271745096789534,6.155118109237639,-13.426863206027173,-0.0010458338981108892,0.5528113270494485,-0.552753987905136,-1.3846492823276302,-7.811917640688125,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0028,2,6.613551576793316,7.168555210154588,-13.782106786947905,-0.0011567488001776804,0.7142347078234403,-0.7141712870424511,-1.7889864207142088,-8.359574721875305,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0029,2,5.964290242441264,8.162405003812196,-14.12669524625346,-0.0011306535123706152,0.8864662122493038,-0.8864042215881602,-2.2204059232627036,-8.895182091393842,0.0,1.0,-1.0,-48.0,48.0,0.0
0.003,3,5.323835984339558,9.136561350841044,-14.460397335180602,-0.00091414733655081,1.069262063805665,-1.0692119431537932,-2.6783008285160763,-9.418561552364102,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0031,3,4.132514696590929,9.531457962199921,-13.66397265879085,-0.0004450591894476967,1.2556725239017648,-1.255648122159296,-3.1452672069552197,-9.259528795538433,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0032,3,2.957343760710586,9.914540043904209,-12.871883804614795,0.0003246517556914244,1.4388665258011475,-1.4388843258476878,-3.604197416078778,-9.097118709162622,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0033,3,1.7980963948049524,10.2860851022549,-12.084181497059852,0.001430815859628903,1.6187759265807748,-1.618854374972732,-4.054923226029067,-8.93135769849727,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0034,3,0.654548069068861,10.64636962946909,-11.300917698537951,0.00290649958229462,1.795333242863259,-1.795492596802505,-4.497277867357938,-8.762277756085098,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0035,3,-0.4735234582214307,10.995669061833079,-10.522145603611648,0.004781979344487856,1.968471762350957,-1.9687339344039132,-4.931096307578007,-8.589916348713949,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0036,3,-1.586338104629851,11.334257734315065,-9.747919629685214,0.007084720642967845,2.1381256530074193,-2.1385140537107996,-5.356215521984083,-8.414316301269874,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0037,3,-2.68411342752427,11.662408831829566,-8.978295404305296,0.009839362615596465,2.304230069813552,-2.3047694483272423,-5.772474758590791,-8.235525677543427,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0038,3,-3.767064588213005,11.980394337347729,-8.213329749134724,0.013067708221543572,2.466721259025776,-2.4674375420206793,-6.179715797035996,-8.053597658073272,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0039,3,-4.835404316386689,12.28848497704878,-7.453080660662091,0.016788720170527186,2.6255366598640597,-2.6264567888627943,-6.577783201304519,-7.868590415130187,-1.0,1.0,0.0,-48.0,0.0,48.0
0.004,4,-5.889342874999283,12.586950162708842,-6.697607287709559,0.0210185227047688,2.7806150035587454,-2.7817667709792495,-6.966524566131992,-7.680566984961837,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0041,4,-6.369538249540785,11.757037367418475,-5.38749911787769,0.025708861287977756,2.9252139079108788,-2.9266224202945694,-7.329047728698468,-6.821523505653442,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0042,4,-6.843334655361396,10.933682453288062,-4.0903477979266665,0.03076325100773058,3.0527263978125494,-3.0544114274943586,-7.64879638630932,-5.969648109192931,-1.0,0.0,1.0,0.0,-48.0,48.0
