time_s,command_step,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,48.0,-24.0,-24.0
0.0001,0,0.8393043318009202,-0.8393043318009202,0.0,1.613904915570567e-09,-0.003351827465365371,0.003351827376877949,0.008395895512237947,0.33506904196071574,1.0,-1.0,0.0,48.0,-24.00502774030261,-23.99497225969739
0.0002,0,1.6671031329280752,-1.6671031329280752,0.0,5.123357946107723e-08,-0.013346151708826538,0.013346148899784135,0.033430385687361175,0.665547114713387,1.0,-1.0,0.0,48.0,-24.02001919913741,-23.979980800862595
0.0003,0,2.4834371718577453,-2.4834371718577453,0.0,3.859496568203949e-07,-0.029891551597917922,0.02989153043701205,0.0748744560954833,0.9914562684746564,1.0,-1.0,0.0,48.0,-24.044837113261146,-23.955162886738858
0.0004,0,3.288348251146173,-3.288348251146173,0.0,1.6133837314701277e-06,-0.05289709686584627,0.05289700840700091,0.13250029641804853,1.312822582587012,1.0,-1.0,0.0,48.0,-24.079344750148056,-23.920655249851944
0.0005,0,4.081879176076604,-4.081879176076604,0.0,4.884223201992183e-06,-0.0822724311861787,0.08227216339326272,0.20608149669147308,1.6296759574482158,1.0,-1.0,0.0,48.0,-24.123405936874754,-23.87659406312525
0.0006,0,4.864073719377247,-4.864073719377247,0.0,1.205604007023613e-05,-0.11792785088193938,0.1179271898716262,0.2953932332140921,1.9420499091438839,1.0,-1.0,0.0,48.0,-24.17688508729257,-23.823114912707435
0.0007,0,5.634976582289638,-5.634976582289638,0.0,2.5848628736307904e-05,-0.1597743793312189,0.15977296209907085,0.40021244425590546,2.2499813669539743,1.0,-1.0,0.0,48.0,-24.23964722745031,-23.760352772549687
0.0008,0,6.39463335225774,-6.39463335225774,0.0,4.9991109882773246e-05,-0.20772383713494466,0.2077210962163871,0.5203179957187647,2.5535104738887067,1.0,-1.0,0.0,48.0,-24.31155801922892,-23.68844198077108
0.0009,0,7.143090457498878,-7.143090457498878,0.0,8.936105787816821e-05,-0.2616889081156319,0.26168400861964614,0.6554908369020553,2.8526803903946516,1.0,-1.0,0.0,48.0,-24.392483782148517,-23.607516217851476
0.001,0,7.88039511870828,-7.88039511870828,0.0,0.00015011591788316597,-0.32158320121872425,0.3215749706580006,0.8055141465356033,3.1475371013575133,1.0,-1.0,0.0,48.0,-24.482291513308418,-23.517708486691582
0.0011,0,8.6065952981395,-8.6065952981395,0.0,0.00023981698615005748,-0.3873213083905506,0.387308159717701,0.970173469247515,3.4381292265144148,1.0,-1.0,0.0,48.0,-24.5808489054199,-23.419151094580098
0.0012,0,9.32173964629366,-9.32173964629366,0.0,0.00036754623300703544,-0.4588188585089674,0.4587987067544087,1.1492568426399727,3.72450783437557,1.0,-1.0,0.0,48.0,-24.688024362892385,-23.311975637107608
0.0013,0,10.025877446440964,-10.025877446440964,0.0,0.0005440162528530295,-0.5359925674444372,0.5359627403379644,1.3425549151507061,4.006726259742834,1.0,-1.0,0.0,48.0,-24.803687015933757,-23.196312984066243
0.0014,0,10.71905855718848,-10.71905855718848,0.0,0.0007816736292954925,-0.6187602843305889,0.6187174272757107,1.5498610548819034,4.284839924901029,1.0,-1.0,0.0,48.0,-24.927706732626362,-23.072293267373638
0.0015,0,11.401333353298968,-11.401333353298968,0.0,0.001094796006479625,-0.7070410341242778,0.7069810098823616,1.7709714495818971,4.5589061645471185,1.0,-1.0,0.0,48.0,-25.059954128941264,-22.94004587105874
0.0016,0,12.072752664956068,-12.072752664956068,0.0,0.0014995831598169002,-0.8007550565357361,0.8006728399662112,2.0056851979679107,4.828984054512037,1.0,-1.0,0.0,48.0,-25.200300576654165,-22.799699423345828
0.0017,0,12.733367715662053,-12.733367715662053,0.0,0.002014242360853764,-0.8998238414096693,0.8997134096032692,2.2538043925806814,5.09513424432064,1.0,-1.0,0.0,48.0,-25.348618209127686,-22.65138179087232
0.0018,0,13.383230058945271,-13.383230058945271,0.0,0.0026590683320536442,-1.0041701606380513,1.0040243787726857,2.515134194363817,5.3574187936265165,1.0,-1.0,0.0,48.0,-25.50477992492569,-22.495220075074315
0.0019,0,14.022391514045347,-14.022391514045347,0.0,0.003456518087917781,-1.1137180966849463,1.113528599928619,2.789482899162375,5.615901012550357,1.0,-1.0,0.0,48.0,-25.668659389227138,-22.33134061077287
0.002,0,14.650904100735373,-14.650904100735373,0.0,0.004431280959258313,-1.2283930678029487,1.2281501395855614,3.0766619963364126,5.870645305943343,1.0,-1.0,0.0,48.0,-25.8401310330074,-22.159868966992594
0.0021,0,15.268819973431567,-15.268819973431567,0.0,0.00561034409766998,-1.348121850019757,1.3478142969960292,3.376486219686151,6.121717021590215,1.0,-1.0,0.0,48.0,-26.019070049957072,-21.980929950042928
0.0022,0,15.876191354732347,-15.876191354732347,0.0,0.0070230537574284945,-1.4728325959720547,1.4724476200015577,3.688773590885983,6.369182302360838,1.0,-1.0,0.0,48.0,-26.205352391108875,-21.794647608891125
0.0023,0,16.473070468520202,-16.473070468520202,0.0,0.008701172652271008,-1.6024548506621996,1.6019779181400255,4.013345455624836,6.613107942313414,1.0,-1.0,0.0,48.0,-26.39885475714499,-21.60114524285501
0.0024,0,17.0595094727515,-17.0595094727515,0.0,0.010678933684878248,-1.7369195642113313,1.7363342730946583,4.350026512650478,6.853561246747773,1.0,-1.0,0.0,48.0,-26.599454588357883,-21.400545411642113
0.0025,0,17.635560392051147,-17.635560392051147,0.0,0.01299309034746189,-1.8761591016802943,1.8754470465724362,4.698644835915117,7.090609896202669,1.0,-1.0,0.0,48.0,-26.807030052238854,-21.192969947761146
0.0026,0,18.20127505022111,-18.20127505022111,0.0,0.015682964092741808,-2.020107250027361,2.0192478857022707,5.059031890019262,7.3243218143871855,1.0,-1.0,0.0,48.0,-27.02146002866958,-20.97853997133042
0.0027,0,18.75670500276357,-18.75670500276357,0.0,0.018790488975844604,-2.16869922226909,2.167669726046157,5.4310225391502325,7.554765040032682,1.0,-1.0,0.0,48.0,-27.242624092692783,-20.757375907307217
0.0028,0,19.301901469512195,-19.301901469512195,0.0,0.022360253869328845,-2.3218716589077895,2.3206467923195198,5.814455049710952,7.78200760264875,1.0,-1.0,0.0,48.0,-27.47040249483875,-20.52959750516125
0.0029,0,19.83691526745684,-19.83691526745684,0.0,0.026439542555695597,-2.4795626266859925,2.4781145969202885,6.209171086833718,8.006117402163582,1.0,-1.0,0.0,48.0,-27.704676138985434,-20.295323861014566
0.003,0,20.361796743839967,-20.361796743839967,0.0,0.03107837200442009,-2.6417116147251782,2.6400099363698164,6.615015704972667,8.227162092426761,1.0,-1.0,0.0,48.0,-27.945326557730194,-20.054673442269802
0.0031,0,20.876595709595165,-20.876595709595165,0.0,0.0363295291437741,-2.8082595281025657,2.806270885772554,7.031837332767413,8.445208968549748,1.0,-1.0,0.0,48.0,-28.19223588525196,-19.807764114748046
0.0032,0,21.381361373191215,-21.381361373191215,0.0,0.042248606441523194,-2.9791486789163755,2.9768367914055758,7.459487752369106,8.660324858057304,1.0,-1.0,0.0,48.0,-28.445286827642995,-19.554713172356998
0.0033,0,21.876142274937614,-21.876142274937614,0.0,0.04889403661298897,-3.154322774886369,3.151648261553479,7.8978220734187365,8.872576015820394,1.0,-1.0,0.0,48.0,-28.704362630690163,-19.29563736930983
0.0034,0,22.360986221800626,-22.360986221800626,0.0,0.05632712677996289,-3.3337269055328633,3.330647155708946,8.346698701865959,9.082028022739106,1.0,-1.0,0.0,48.0,-28.9693470450854,-19.0306529549146
0.0035,0,22.835940222771338,-22.835940222771338,0.0,0.06461209240952918,-3.5173075259737443,3.513776572264347,8.805979303815098,9.28874568814111,1.0,-1.0,0.0,48.0,-29.240124289046456,-18.759875710953548
0.0036,0,23.30105042482089,-23.30105042482089,0.0,0.07381609136796732,-3.705012438375388,3.7009808348252315,9.27552876458322,9.492792955858848,1.0,-1.0,0.0,48.0,-29.51657900832894,-18.483420991671057
0.0037,0,23.756362049470283,-23.756362049470283,0.0,0.08400925843151143,-3.8967907710897367,3.892205477282229,9.755215143153169,9.694232813945014,1.0,-1.0,0.0,48.0,-29.79859623361134,-18.20140376638866
0.0038,0,24.20191932999583,-24.20191932999583,0.0,0.09526474060277405,-4.092592955506311,4.087397227784076,10.244909622202478,9.893127207982621,1.0,-1.0,0.0,48.0,-30.086061335235843,-17.913938664764157
0.0039,0,24.637765449284032,-24.637765449284032,0.0,0.10765873358900352,-4.292370700644414,4.286503991760749,10.74448645388659,10.08953695794134,1.0,-1.0,0.0,48.0,-30.37885997528845,-17.621140024711547
0.004,0,25.063942478342966,-25.063942478342966,0.0,0.12127051980592493,-4.496076965507652,4.4894748341525075,11.253822901552562,10.283521678527146,1.0,-1.0,0.0,48.0,-30.67687805700337,-17.32312194299663
0.0041,0,25.48049131547022,-25.48049131547022,0.0,0.1361825082785602,-4.7036659292197065,4.696259961007467,11.772799177556191,10.475139702966203,1.0,-1.0,0.0,48.0,-30.980001671478036,-17.019998328521964
