time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,1.0,-1.0,-24.0,48.0,-24.0,0.0
0.0002,0.0,2.4983325697865175,-2.4983325697865175,0.12295552637996737,-11.940024809879871,11.933290331906946,29.89978804585658,-1.994779383587264,0.0,1.0,-1.0,-23.87367723463357,48.0,-24.12632276536643,0.0059933035181963575
0.0004,0.0,4.9237938334400475,-4.9237938334400475,0.242735003565057,-11.824794355673172,11.811540084604335,29.60298380553598,-3.9313752467209397,0.0,1.0,-1.0,-23.750637860900525,48.0,-24.249362139099475,0.011946808438623155
0.0006,0.0,7.272978153729655,-7.272978153729655,0.35631638686907874,-11.633251426903128,11.613892841589747,29.115543295371378,-5.807069120644881,0.0,1.0,-1.0,-23.634004320474233,48.0,-24.365995679525774,0.017821787374872524
0.0008,0.0,9.542740649282521,-9.542740649282521,0.460886965070234,-11.367790014155101,11.34292178795617,28.44368392246986,-7.619351743567288,0.0,1.0,-1.0,-23.5266789218303,48.0,-24.4733210781697,0.02358073063157981
0.001,0.0,11.730197141001641,-11.730197141001641,0.5538850689321952,-11.030913818249802,11.001282516822219,27.5938635512749,-9.365923187211962,0.0,1.0,-1.0,-23.43129928035401,48.0,-24.56870071964599,0.02918739638944619
0.0012,0.0,13.832723493107503,-13.832723493107503,0.6330380207445179,-10.625229480612914,10.59170231715013,26.57275959611586,-11.044692210796038,0.0,1.0,-1.0,-23.35019839752409,48.0,-24.649801602475915,0.03460685670488346
0.0014,0.0,15.847954366713955,-15.847954366713955,0.6963964854959869,-10.153438948165324,10.116970474756792,25.387248216003414,-12.653774871377145,0.0,1.0,-1.0,-23.285369277799745,48.0,-24.714630722200255,0.03980553933715241
0.0016,0.0,17.773781410249715,-17.773781410249715,0.7423651480056571,-9.618331083350595,9.57992966242304,24.04438368248004,-14.19149246902896,0.0,1.0,-1.0,-23.23843414153056,48.0,-24.761565858469442,0.044751265430656155
0.0018,0.0,19.608350916183387,-19.608350916183387,0.769729431853583,-9.022772678128936,8.983468404761021,22.551377981514594,-15.656368942249053,0.0,1.0,-1.0,-23.210618431462464,48.0,-24.789381568537543,0.049413283093291176
0.002,0.0,21.35006097676767,-21.35006097676767,0.7776778172646245,-8.369699058597268,8.330514518468343,20.915580697729272,-17.047127849245108,0.0,1.0,-1.0,-23.20272991267091,48.0,-24.797270087329093,0.05376229692272014
0.0022,0.0,22.997558172570347,-22.997558172570347,0.7658192200323436,-7.662104475386474,7.624029356949046,19.144459215422653,-18.362689072963235,0.0,1.0,-1.0,-23.215143220748942,48.0,-24.78485677925105,0.05777049354070991
0.0024,0.0,24.549733826419097,-24.549733826419097,0.7341948674078427,-6.903032467121141,6.867002636146748,17.245579257663945,-19.602165373218426,0.0,1.0,-1.0,-23.24779021710496,48.0,-24.752209782895044,0.06141156320122709
0.0026,0.0,26.005719852364763,-26.005719852364763,0.6832841471047302,-6.095566364142348,6.062447589393929,15.226585773696836,-20.764858881430115,0.0,1.0,-1.0,-23.30015646552106,48.0,-24.69984353447894,0.06466071754108874
0.0028,0.0,27.36488422489181,-27.36488422489181,0.6140040034858361,-5.2428200719168805,5.213396194061979,13.095184177117895,-21.850257596905124,0.0,1.0,-1.0,-23.371284057586713,48.0,-24.62871594241329,0.06749470354317502
0.003,0.0,28.626826088538213,-28.626826088538213,0.5277015978404357,-4.347929242344167,4.322894230346389,10.85912193339918,-22.85803190345326,0.0,1.0,-1.0,-23.459780896160677,48.0,-24.54021910383932,0.06989181378224697
0.0032,0.0,29.791370523022934,-29.791370523022934,0.42614012288246644,-3.4140429100359992,3.39399596935941,8.526170495421015,-23.788031086188052,0.0,1.0,-1.0,-23.563836406779238,48.0,-24.43616359322076,0.07183189302307127
0.0034,0.0,30.8585629745615,-30.8585629745615,0.3114778509417658,-2.4443156420679704,2.4297583394204754,6.104107589438948,-24.64027979465175,0.0,1.0,-1.0,-23.681243497734485,48.0,-24.31875650226551,0.07329634124060583
0.0036,0.0,31.828663360811436,-31.828663360811436,0.1862406884593042,-1.4419002250471453,1.4332344812133817,3.6006998606519605,-25.414974372782694,0.0,1.0,-1.0,-23.809426439623813,48.0,-24.190573560376194,0.07426811313311767
0.0038,0.0,32.70213985520927,-32.70213985520927,0.05328869700384308,-0.4099408929032592,0.40746666969805223,1.023685896364959,-26.11247896040547,0.0,1.0,-1.0,-23.94547419139355,48.0,-24.054525808606446,0.07473171420179305
0.004,0.0,33.479662356551565,-33.479662356551565,-0.08422278282364697,0.648432918025015,-0.6445213506859814,-1.619240345371884,-26.73332126551263,0.0,1.0,-1.0,-24.08617856649316,48.0,-23.91382143350684,0.07467319347497936
0.0042,0.0,34.162095651582426,-34.162095651582426,-0.22288660625989742,1.7301123145787778,-1.7197325041291738,-4.320445663850637,-27.278187911470845,0.0,1.0,-1.0,-24.2280765114847,48.0,-23.771923488515302,0.0740801329617728
0.0044,0.0,34.75049228197162,-34.75049228197162,-0.35909095212309355,2.8320142350203907,-2.815204818910944,-7.07237325378485,-27.747919277764673,0.0,1.0,-1.0,-24.367495660177816,48.0,-23.632504339822177,0.07294163392814496
0.0046,0.0,35.24608513215556,-35.24608513215556,-0.489069023216985,3.9510863373456586,-3.928019927995706,-9.867557799597112,-28.143503776067128,0.0,1.0,-1.0,-24.50060222789196,48.0,-23.49939777210804,0.07124830009889084
0.0048,0.0,35.65027976068746,-35.65027976068746,-0.6089501168882143,5.084311563891376,-5.05531135456745,-12.698639967792449,-28.46607153425547,0.0,1.0,-1.0,-24.623450221550176,48.0,-23.37654977844982,0.06899221789992252
0.005,0.0,35.96464650450787,-35.96464650450787,-0.7148107530338362,6.228712482297632,-6.194272264839895,-15.558380238375157,-28.71688749833219,0.0,1.0,-1.0,-24.732030861762702,48.0,-23.26796913823729,0.06616693386721297
0.0052,0.0,36.19091239226965,-36.19091239226965,-0.8027244514244091,7.38135553288392,-7.342162346443656,-18.43967201935043,-28.897344004686424,0.0,1.0,-1.0,-24.82232104464454,48.0,-23.177678955355457,0.06276742936026355
0.0054,0.0,36.33095290878734,-36.33095290878734,-0.8688086758238449,8.539355349001502,-8.496313463802325,-21.33555399586651,-29.008952920912257,0.0,1.0,-1.0,-24.890329618423433,48.0,-23.109670381576567,0.05879009272848709
0.0056,0.0,36.38678365695863,-36.38678365695863,-0.9092674195851507,9.699879359166907,-9.654133756608084,-24.23922167770728,-29.053337499913304,0.0,1.0,-1.0,-24.93214022086456,48.0,-23.06785977913544,0.05423268908744821
0.0058,0.0,36.36055196517526,-36.36055196517526,-0.9204279110788258,10.860152925564257,-10.813109888580147,-27.144038125543535,-29.032224135693824,0.0,1.0,-1.0,-24.94394942957088,48.0,-23.05605057042912,0.04909432786756448
0.006,0.0,36.25452848631436,-36.25452848631436,-0.8987699861978077,12.017465318858013,-11.970807225576197,-30.043543857081843,-28.947434245333262,0.0,1.0,-1.0,-24.922099032838716,48.0,-23.077900967161284,0.04337542829977715
0.0062,0.0,36.071098827961976,-36.071098827961976,-0.8409468305753571,13.169176868150734,-13.12486782795917,-32.931465957972044,-28.800876524314823,0.0,1.0,-1.0,-24.863101350671137,48.0,-23.136898649328863,0.037077683000138514
0.0064,0.0,35.812755241847604,-35.812755241847604,-0.7437960578530995,14.312727649068298,-14.273006282575341,-35.80172644737761,-28.594539824978682,0.0,1.0,-1.0,-24.763656741099577,48.0,-23.236343258900423,0.03020401980779044
0.0066,0.0,35.48208838323857,-35.48208838323857,-0.6043404818066054,15.445648071837702,-15.413003571793908,-38.648449972127075,-28.33048688360233,0.0,1.0,-1.0,-24.620662731828503,48.0,-23.379337268171497,0.02275856201838712
0.0068,0.0,35.081779128505566,-35.081779128505566,-0.41977847294537324,16.56557169240568,-16.54269937310562,-41.4659709233547,-28.01084906449819,0.0,1.0,-1.0,-24.431214632595406,48.0,-23.568785367404594,0.014746587138135661
0.007,0.0,34.614590412301204,-34.614590412301204,-0.1874644679882946,17.670250479522554,-17.659983389683077,-44.248840081999866,-27.63782219572461,0.0,1.0,-1.0,-24.192598012908036,48.0,-23.807401987091968,0.006174484263446204
0.0072,0.7101762653491406,33.19512017867675,-33.90529644402589,0.09510075488361626,18.754883239652496,-18.76009613610084,-46.98509310882794,-26.78944914025675,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.0029501473299106064
0.0074,2.901742647135954,29.855464778244055,-32.75720742538001,0.42905996145467207,19.779929640193725,-19.803347023809923,-49.5754994880571,-25.022165651640925,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.012609152203388967
0.0076,5.017145873337004,26.544982185272445,-31.56212805860945,0.8133262740583563,20.733726982484292,-20.77765963072368,-51.99030617806552,-23.27826537166296,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.022768639399309305
0.0078,7.056096408342793,23.268891122370277,-30.32498753071307,1.2463858877614695,21.617621400523205,-21.683791618998843,-54.23208718654725,-21.562389884087533,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.033393738645478344
0.008,9.01840254499707,20.032144527714266,-29.050547072711336,1.7265446075950657,22.433238740995453,-22.522620897834415,-56.30385950869737,-19.878761834932536,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.044450139467996676
0.0082,10.90397852537027,16.839417773008055,-27.743396298378325,2.251972217696556,23.18246731003614,-23.295144219370783,-58.209042433011255,-18.23120742574422,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.05590417568180444
0.0084,12.712850463543575,13.695098855190562,-26.407949318734136,2.820722551970914,23.867434600405485,-24.002480239985182,-59.951418625282614,-16.623169306553642,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.06772290193623996
0.0086,14.445161004064092,10.603280177079663,-25.048441181143755,3.430730155706004,24.49047682639599,-24.64587527034208,-61.535095997563474,-15.057709409031915,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.0798741625726959
0.0088,16.101173564524068,7.567751671905744,-23.66892523642981,4.0797861847713,25.054100574507085,-25.226709693553204,-62.96446938534338,-13.53750251525529,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.0923266528523637
0.009,17.68127686648449,4.5919951787999445,-22.273272045284436,4.765497750469479,25.560936502971234,-25.746503001673553,-64.24418119768825,-12.06482257911964,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.10504997242881886
0.0092,19.185990267354338,1.6791801235632533,-20.86517039091759,5.4852361472402835,26.01368574347191,-26.20691559105596,-65.37908046130062,-10.641524868428656,1.0,0.0,-1.0,48.0,0.0,-48.0,-0.11801467079701318
0.0094,20.153162458615533,-0.24227454186298575,-19.910887916752547,6.237088587005494,26.419268857726845,-26.613985207507003,-66.38475433827081,-9.779420384393191,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.1311925760119505
0.0096,20.409900908818862,-0.8243257820356872,-19.585575126783176,7.028084278534423,26.816246134299746,-27.005780508444044,-67.35647076123176,-9.65402308485578,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.144566907500072
0.0098,20.622318327849435,-1.3992729277650413,-19.223045400084395,7.860944794671671,27.21362338635203,-27.39072972997301,-68.31537049374768,-9.522964683953628,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.15813431003286527
0.01,20.789829501914664,-1.9661943350975293,-18.823635166817134,8.736233433024573,27.611651506778095,-27.768599370042725,-69.2608471553749,-9.38540230331185,1.0,0.0,-1.0,0.0,48.0,-48.0,-0.1718921610386248
