time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,1.0,-1.0,0.0,48.0,-41.96499655464031,-6.03500344535969,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0002,1.2489224144840492,-1.2489224144840492,0.0,0.12364408368309852,-11.990125360580754,11.983353188725026,30.02523625554376,0.5038814034324113,1.0,-1.0,0.0,48.0,-41.916593827173855,-6.083406172826146,0.006001683813898301,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0004,2.459056073185397,-2.459056073185397,0.0,0.2481929404154458,-12.023603330032012,12.010051656362377,30.100602124285146,1.002539252309206,1.0,-1.0,0.0,48.0,-41.89775685117066,-6.102243148829343,0.012013436547097316,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0006,3.6307077023922214,-3.6307077023922214,0.0,0.37454694365945435,-12.076887743621299,12.056543394059789,30.22555989786295,1.4956718743244932,1.0,-1.0,0.0,48.0,-41.9077137940407,-6.092286205959292,0.018045230854087567,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0008,4.76415202963223,-4.76415202963223,0.0,0.503606012512835,-12.149756261324502,12.122602726780855,30.39954325703493,1.9830081343285877,1.0,-1.0,0.0,48.0,-41.94567785118669,-6.0543221488133145,0.024106928935707397,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.001,5.859632975818415,-5.859632975818415,0.0,0.6362743440142159,-12.24197549259512,12.207996423353476,30.62196015035829,2.4643039518990832,1.0,-1.0,0.0,48.0,-42.01084699764394,-5.9891530023560655,0.03020827711063807,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0012,6.917364627432102,-6.917364627432102,0.0,0.7734650930441195,-12.353301644668818,12.312485350288771,30.892195329661476,2.939338915056731,1.0,-1.0,0.0,48.0,-42.10240362610112,-5.897596373898882,0.0363589009281539,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0014,7.937532000249122,-7.937532000249122,0.0,0.9161049968458159,-12.483481063792661,12.435826048888899,31.20961255052697,3.4079129618869337,1.0,-1.0,0.0,48.0,-42.21951408236232,-5.780485917637678,0.042568300754354645,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0016,8.920291605978983,-8.920291605978983,0.0,1.0651389370817117,-12.63225066951414,12.577772243217339,31.57355644307288,3.86984309961533,1.0,-1.0,0.0,48.0,-42.36132810943355,-5.638671890566448,0.04884584776546158,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0018,9.86577183321003,-9.86577183321003,0.0,1.2215344265053394,-12.799338282642298,12.738076283680513,31.98335405514937,4.3249601280845384,1.0,-1.0,0.0,48.0,-42.526978211749,-5.47302178825101,0.055200780282504275,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.002,10.774073154295767,-10.774073154295767,0.0,1.3862859995940924,-12.984462847912061,12.916490527368492,32.43831606661432,4.7731053315802745,1.0,-1.0,0.0,48.0,-42.71557895152748,-5.284421048472522,0.061642200381807094,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0022,11.645268170344428,-11.645268170344428,0.0,1.5604194766450048,-13.1873345527098,13.112768651761007,32.937737669581466,5.214127099588882,1.0,-1.0,0.0,48.0,-42.92622618979341,-5.073773810206597,0.06817907071504643,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0024,12.479401507360151,-12.479401507360151,0.0,1.744996058649568,-13.407654843415555,13.326666892734188,33.48089910541187,5.6478774334100255,1.0,-1.0,0.0,48.0,-43.15799628511718,-4.842003714882817,0.07482021147122192,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0026,13.27648957790997,-13.27648957790997,0.0,1.9411161954837197,-13.645116340940065,13.557945190787443,34.06706584472121,6.074208291723958,1.0,-1.0,0.0,48.0,-43.40994526351562,-4.590054736484382,0.08157429741059616,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0028,14.03652022454591,-14.03652022454591,0.0,2.149923152326337,-13.899402656831516,13.806368220811573,34.69548839179412,6.492967724410283,1.0,-1.0,0.0,48.0,-43.681107973064165,-4.318892026935836,0.08844985489742892,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.003,14.75945226369438,-14.75945226369438,0.0,2.3726061785255004,-14.170188110837154,14.071706270283205,35.36540168954732,6.903995740394187,1.0,-1.0,0.0,48.0,-43.97049723643903,-4.029502763560969,0.0954552588540928,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0032,15.445214951938048,-15.445214951938048,0.0,2.6104031591842323,-14.457137349962228,14.353735918230978,36.07602409560803,7.307119852399973,1.0,-1.0,0.0,48.0,-44.27710301361998,-3.7228969863800243,0.10259872955383113,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0034,16.093707400669466,-16.093707400669466,0.0,2.864602602434342,-14.759904867801959,14.652240452415148,36.82655589426089,7.702150239661692,1.0,-1.0,0.0,48.0,-44.59989158509895,-3.4001084149010428,0.10988832916295549,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0036,16.704797970099023,-16.704797970099023,0.0,3.1365447847258556,-15.078134421155749,14.967009944648563,37.61617730309387,8.088874469426482,1.0,-1.0,0.0,48.0,-44.937804762863514,-3.062195237136491,0.11733195793563729,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0038,17.278323679660176,-17.278323679660176,0.0,3.4276218426700242,-15.41145833859731,15.297840883866582,38.44404592733948,8.467051720160477,1.0,-1.0,0.0,48.0,-45.28975913183022,-2.7102408681697767,0.1249373499556295,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
0.004,17.814089679066083,-17.814089679066083,0.0,3.739276563457323,-15.759496712707952,15.64453524330187,39.30929360942655,8.83640645453086,1.0,-1.0,0.0,48.0,-45.654645317927184,-2.3453546820728164,0.13271206830929422,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
