time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0
2e-06,0.0,0.0,0.0,0.0012349289160293456,-11.976698224190987,11.976630515329424,30.0,0.0,1.0,-1.0,0.0,48.0,-41.96436216296691,-6.035637837033093,6e-05
4e-06,0.012681870175899541,-0.012681870175899541,0.0,0.0024698581508953133,-11.976733089447528,11.97659767174889,30.000002532018847,0.005063956125672132,1.0,-1.0,0.0,48.0,-41.963729287397214,-6.036270712602789,0.00012000000168802619
6e-06,0.02535982823238793,-0.02535982823238793,0.0,0.0037047885792756163,-11.976769976240549,11.976566849723326,30.000010127749054,0.010127422653676457,1.0,-1.0,0.0,48.0,-41.96309944355396,-6.036900556446037,0.00018000001350388303
8e-06,0.0380338745260065,-0.0380338745260065,0.0,0.004939721110492724,-11.976808884378494,11.976538049053284,30.00002278670084,0.015190399230807951,1.0,-1.0,0.0,48.0,-41.96247263068729,-6.037527369312713,0.0002400000455745035
1e-05,0.05070400941294653,-0.05070400941294653,0.0,0.006174656653769461,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239426,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.00030000010802584074
1.2e-05,0.0633702332490494,-0.0633702332490494,0.0,0.0074095961182294974,-11.976892763922207,11.976486510981296,30.000063292308297,0.025314881121521172,1.0,-1.0,0.0,48.0,-41.96122809488329,-6.038771905116715,0.0003600002109828672
1.4e-05,0.07603254638980683,-0.07603254638980683,0.0,0.008644540412897818,-11.976937734944167,11.976463773179782,30.00009113798265,0.030376385730580564,1.0,-1.0,0.0,48.0,-41.960610370445416,-6.039389629554581,0.00042000036456957404
1.6e-05,0.08869094919036094,-0.08869094919036094,0.0,0.009879490446701238,-11.97698472654344,11.976443055934674,30.000124044915964,0.03543739897972166,1.0,-1.0,0.0,48.0,-41.959995673983045,-6.040004326016955,0.0004800005789089704
1.8e-05,0.10134544200550455,-0.10134544200550455,0.0,0.01111444712846887,-11.977033738527773,11.97642435904586,30.000162012616705,0.04049792051762483,1.0,-1.0,0.0,48.0,-41.95938400474551,-6.040615995254486,0.0005400008641230828
2e-05,0.11399602518968129,-0.11399602518968129,0.0,0.0123494113669326,-11.9770847707048,11.976407682313114,30.00020504059298,0.04555794999334645,1.0,-1.0,0.0,48.0,-41.95877536198205,-6.041224638017949,0.0006000012303329543
2.2e-05,0.12664269909698575,-0.12664269909698575,0.0,0.013584384070727597,-11.977137822881994,11.976393025536067,30.000253128352554,0.050617487056318314,1.0,-1.0,0.0,48.0,-41.958169744941706,-6.041830255058299,0.0006600016876586436
2.4e-05,0.1392854640811638,-0.1392854640811638,0.0,0.014819366148392785,-11.977192894866723,11.976380388514238,30.000306275402842,0.05567653135634756,1.0,-1.0,0.0,48.0,-41.95756715287341,-6.0424328471265945,0.0007200022462192249
2.6e-05,0.14347419353020788,-0.14347419353020788,0.0,0.016054358050633523,-11.977249649296455,11.976369433902367,30.00036363671562,0.057356958770687624,0.0,-1.0,0.0,0.0,-17.956967079525278,17.956967079525278,0.0007800029158512743
2.8e-05,0.13921235124030742,-0.13921235124030742,0.0,0.017289357522278496,-11.977306063010811,11.97635813870567,30.00042014474216,0.055659081526605945,0.0,-1.0,0.0,0.0,-17.956366491449934,17.956366491449934,0.0008400036999157116
3e-05,0.13495121875199353,-0.13495121875199353,0.0,0.018524363947981022,-11.977361798777297,11.97634616576738,30.00047495485312,0.05396112761901695,0.0,-1.0,0.0,0.0,-17.955764883182038,17.955764883182038,0.0009000045952982994
3.2e-05,0.13069079610762607,-0.13069079610762607,0.0,0.019759377123770308,-11.977416856538866,11.976333515083603,30.000528066971885,0.05226309715351352,0.0,-1.0,0.0,0.0,-17.95516225479115,17.95516225479115,0.0009600055986031294
3.4e-05,0.1264310833496451,-0.1264310833496451,0.0,0.02099439684565885,-11.977471236238522,11.976320186650497,30.000579481021948,0.05056499023573672,0.0,-1.0,0.0,0.0,-17.95455860634693,17.95455860634693,0.001020006706434141
3.6e-05,0.12217208052057102,-0.12217208052057102,0.0,0.02222942290964234,-11.977524937819314,11.976306180464261,30.000629196926912,0.048866806971375895,0.0,-1.0,0.0,0.0,-17.953953937919096,17.953953937919096,0.0010800079153951204
3.8e-05,0.11791378766300452,-0.11791378766300452,0.0,0.02346445511169963,-11.977577961224343,11.976291496521162,30.000677214610477,0.04716854746616866,0.0,-1.0,0.0,0.0,-17.953348249577484,17.953348249577484,0.0011400092220897012
4e-05,0.11365620481962646,-0.11365620481962646,0.0,0.024699493247792692,-11.97763030639676,11.976276134817509,30.000723533996467,0.04547021182590083,0.0,-1.0,0.0,0.0,-17.95274154139199,17.95274154139199,0.001200010623121364
4.2e-05,0.10939933203319793,-0.10939933203319793,0.0,0.025934537113866545,-11.977681973279765,11.976260095349657,30.000768155008792,0.04377180015640652,0.0,-1.0,0.0,0.0,-17.952133813432603,17.952133813432603,0.0012600121150934376
