time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,1.0,-1.0,0.0,48.0,-41.96499655464031,-6.03500344535969,0.0
2e-06,0.012682316869598457,-0.012682316869598457,0.0,0.0012349290549915053,-11.976699234961323,11.976631526092145,30.000002531839833,0.005063598123034146,1.0,-1.0,0.0,48.0,-41.964363679045306,-6.035636320954687,6.000000168790681e-05
4e-06,0.02536072149790379,-0.02536072149790379,0.0,0.0024698590193583687,-11.976736121569223,11.976600703822967,30.000010127033104,0.010126706802874516,1.0,-1.0,0.0,48.0,-41.9637338350979,-6.036266164902102,0.00012000001350292828
6e-06,0.03803521424163635,-0.03803521424163635,0.0,0.00370479080238416,-11.97677502939238,11.976571902753268,30.000022785090184,0.015189325686285105,1.0,-1.0,0.0,48.0,-41.96310702204827,-6.0368929779517355,0.00018000004557128176
8e-06,0.05070579545716633,-0.05070579545716633,0.0,0.00493972531325275,-11.97681595823915,11.976545122683518,30.000040505521103,0.020251454420407797,1.0,-1.0,0.0,48.0,-41.96248323914647,-6.03751676085353,0.00024000010801820485
1e-05,0.06337246550051404,-0.06337246550051404,0.0,0.006174663461048813,-11.976858907917762,11.976520363414053,30.00006328783553,0.025313092652762017,1.0,-1.0,0.0,48.0,-41.96186248564241,-6.038137514357592,0.0003000002109679551
1.2e-05,0.07603522472734998,-0.07603522472734998,0.0,0.007409606154758292,-11.976903878236275,11.976497624745083,30.000091131542792,0.030374240031244257,1.0,-1.0,0.0,48.0,-41.961244760785846,-6.038755239214158,0.00036000036454380884
1.4e-05,0.08869407349299509,-0.08869407349299509,0.0,0.008644554303268902,-11.976950869002657,11.976476906476693,30.000124036151856,0.03543489620412782,1.0,-1.0,0.0,48.0,-41.960630063826386,-6.039369936173614,0.0004200005788680608
1.6e-05,0.1013490121524209,-0.1013490121524209,0.0,0.009879508815370613,-11.976999880024707,11.97645820840883,30.000162001171343,0.04049506082006233,1.0,-1.0,0.0,48.0,-41.96001839401349,-6.039981605986501,0.0004800008640620232
1.8e-05,0.11400004106024973,-0.11400004106024973,0.0,0.011114470599756123,-11.977050911110103,11.97644153034132,30.000205026109523,0.045554733528073425,1.0,-1.0,0.0,48.0,-41.95940975059649,-6.040590249403499,0.0005400012302460254
2e-05,0.1266471605707548,-0.1266471605707548,0.0,0.012349440565021368,-11.977103962066392,11.97642687207386,30.00025311047431,0.05061391397756232,1.0,-1.0,0.0,48.0,-41.95880413282454,-6.0411958671754515,0.0006000016875394125
2.2e-05,0.13929037103786052,-0.13929037103786052,0.0,0.013584419619665975,-11.977159032700964,11.976414233405995,30.00030625377327,0.05567260181830542,1.0,-1.0,0.0,48.0,-41.95820153994664,-6.041798460053359,0.0006600022460605454
2.4e-05,0.15192967281514258,-0.15192967281514258,0.0,0.014819408672093779,-11.977216122821103,11.976403614137178,30.000364455513623,0.06073079670045405,1.0,-1.0,0.0,48.0,-41.95760197121168,-6.042398028788318,0.0007200029159268
2.6e-05,0.16456506625582812,-0.16456506625582812,0.0,0.0160544086306133,-11.977275232233932,11.976395014066712,30.000427715202232,0.06578849827453391,1.0,-1.0,0.0,48.0,-41.95700542586837,-6.042994574131626,0.0007800037072545655
2.8e-05,0.177196551712796,-0.177196551712796,0.0,0.017289420403438217,-11.977336360746463,11.976388432993778,30.00049603234562,0.07084570619144484,1.0,-1.0,0.0,48.0,-41.9564119031653,-6.043588096834709,0.0008400046301592454
3e-05,0.1898241295385768,-0.1898241295385768,0.0,0.01852444489868785,-11.977399508165549,11.976383870717418,30.000569406449948,0.0759024201024603,1.0,-1.0,0.0,48.0,-41.95582140235086,-6.044178597649147,0.0009000056947552553
3.2e-05,0.20244780008535324,-0.20244780008535324,0.0,0.01975948302438767,-11.977464674297925,11.976381327036563,30.000647837021038,0.08095863965922713,1.0,-1.0,0.0,48.0,-41.95523392267333,-6.044766077326665,0.0009600069111560229
3.4e-05,0.21506756370496014,-0.21506756370496014,0.0,0.0209945356884698,-11.977531858950192,11.976380801750002,30.000731323564366,0.08601436451376511,1.0,-1.0,0.0,48.0,-41.95464946338086,-6.045350536619132,0.0010200082894739875
3.6e-05,0.22768342074888465,-0.22768342074888465,0.0,0.02222960379877341,-11.977601061928796,11.976382294656407,30.000819865585054,0.09106959431846642,1.0,-1.0,0.0,48.0,-41.95406802372142,-6.045931976278583,0.0010800098398205983
3.8e-05,0.24029537156826658,-0.24029537156826658,0.0,0.023464688263045316,-11.977672283040079,11.976385805554319,30.000913462587878,0.09612432872609565,1.0,-1.0,0.0,48.0,-41.95348960294283,-6.046510397057164,0.0011400115723063154
4e-05,0.25290341651389836,-0.25290341651389836,0.0,0.024699789988940388,-11.977745522090226,11.97639133424215,30.001012114077263,0.10117856738978906,1.0,-1.0,0.0,48.0,-41.952914200292795,-6.047085799707208,0.0012000134970406074
4.2e-05,0.2655075559362253,-0.2655075559362253,0.0,0.02593490988402207,-11.977820778885295,11.976398880518179,30.001115819557295,0.1062323099630543,1.0,-1.0,0.0,48.0,-41.95234181501882,-6.047658184981181,0.0012600156241319514
4.4e-05,0.2781077901853458,-0.2781077901853458,0.0,0.027170048855762862,-11.977898053231204,11.976408444180572,30.00122457853171,0.11128555609977002,1.0,-1.0,0.0,48.0,-41.95177244636828,-6.0482275536317065,0.0013200179636878328
