case,time_s,hall_code,pole_pairs,transition_class,direction,legal_event,legal_edge_count,timeout,raw_speed_rad_s,filtered_speed_rad_s
pole_pairs_1_forward,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
pole_pairs_1_forward,0.01,1,1,legal_forward,1,1,1,0,0.0,0.0
pole_pairs_1_forward,0.02,3,1,legal_forward,1,1,2,0,104.71975511965977,104.71975511965977
pole_pairs_4_forward,0.0,5,4,first_valid,0,0,0,0,0.0,0.0
pole_pairs_4_forward,0.01,1,4,legal_forward,1,1,1,0,0.0,0.0
pole_pairs_4_forward,0.02,3,4,legal_forward,1,1,2,0,26.17993877991494,26.17993877991494
reverse,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
reverse,0.01,4,1,legal_reverse,-1,1,1,0,0.0,0.0
reverse,0.02,6,1,legal_reverse,-1,1,2,0,-104.71975511965977,-104.71975511965977
invalid_ignored,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
invalid_ignored,0.01,0,1,invalid_code,0,0,0,0,0.0,0.0
invalid_ignored,0.02,1,1,legal_forward,1,1,1,0,0.0,0.0
invalid_ignored,0.03,3,1,legal_forward,1,1,2,0,104.71975511965978,104.71975511965978
non_adjacent_ignored,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
non_adjacent_ignored,0.01,3,1,non_adjacent,0,0,0,0,0.0,0.0
non_adjacent_ignored,0.02,1,1,legal_forward,1,1,1,0,0.0,0.0
non_adjacent_ignored,0.03,3,1,legal_forward,1,1,2,0,104.71975511965978,104.71975511965978
hold_ignored,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
hold_ignored,0.01,5,1,hold,0,0,0,0,0.0,0.0
hold_ignored,0.02,1,1,legal_forward,1,1,1,0,0.0,0.0
hold_ignored,0.03,3,1,legal_forward,1,1,2,0,104.71975511965978,104.71975511965978
timeout_recovery,0.0,5,1,first_valid,0,0,0,0,0.0,0.0
timeout_recovery,0.01,1,1,legal_forward,1,1,1,0,0.0,0.0
timeout_recovery,0.07,1,1,hold,0,0,1,1,0.0,0.0
timeout_recovery,0.08,3,1,legal_forward,1,1,2,0,0.0,0.0
timeout_recovery,0.09,2,1,legal_forward,1,1,3,0,104.71975511965981,26.179938779914952
