time_s,mechanical_angle_rad,speed_rad_s,hall_a,hall_b,hall_c,hall_code,hall_transition_class,hall_direction,hall_legal_event,speed_raw_rad_s,speed_filtered_rad_s,timeout,legal_edge_count
0.0,0.0,400.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0001,0.039999773783079395,399.9932212999542,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0002,0.0799981964800867,399.9730087150152,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0003,0.1199939333822358,399.93952980870057,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0004,0.15998566390852678,399.8928911634201,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,0.1999720730152922,399.8330897924772,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0006,0.23995183861181102,399.75998674340656,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0007,0.27992361864577314,399.6733313227247,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0008,0.31988604411465615,399.5728582512859,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009,0.3598377259133683,399.45846748195817,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.39977728352191594,399.330477909561,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0011,0.43970340154488297,399.18992345788934,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0012,0.47961491580307736,399.03883738774437,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0013,0.5195109231764208,398.8803606989559,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0014,0.5593908215723141,398.71687954521053,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015,0.5992541828211363,398.5499368015232,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0016,0.6391007674757351,398.3817607215541,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0017,0.6789305782907086,398.2148742368521,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0018,0.7187438603234715,398.0514976867615,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0019,0.7585410408833916,397.8929680328402,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.7983224993806938,397.73470537906815,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021,0.8380876224890971,397.5659991311112,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0022,0.8778353576092572,397.3870395411287,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023,0.917564704942718,397.198311664797,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0024,0.9572747060732237,397.0001648938103,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,0.9969644328175112,396.7928640624002,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0026,1.0366329815411421,396.57664310443187,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027,1.0762794719622968,396.35173806678165,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0028,1.1159030476513536,396.1183870002189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0029,1.1555028748396663,395.87679752127787,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.003,1.1950781368923113,395.62709574880193,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0031,1.234628023681833,395.3692797477887,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0032,1.2741517176521817,395.10320433674,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0033,1.3136483809689854,394.82862152344387,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0034,1.3531171502127246,394.5452926881064,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0035,1.3925571460899446,394.2531761305773,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0036,1.4319675052297234,393.95267771697985,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0037,1.4713474390118475,393.644934257479,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0038,1.5106963204305555,393.33208153936374,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0039,1.5500137945035415,393.0174466475757,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.004,1.5892998933316804,392.70521451061757,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0041,1.6285550099432007,392.3981822228231,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0042,1.6677797889375026,392.0989367804834,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0043,1.7069751546077505,391.8104033626207,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0044,1.7461423177644053,391.53528726695185,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0045,1.7852827240828644,391.2754882221465,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0046,1.8243979483128332,391.03162347720655,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0047,1.863489550451897,390.80275503477225,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0048,1.902558888334396,390.5845940877228,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0049,1.941606326264507,390.36327591882514,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.005,1.9806313709136507,390.13677612347,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0051,2.0196335169492707,389.9053384905571,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0052,2.058612280462291,389.66915619471666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0053,2.0975671961716373,389.42841378049104,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0054,2.1364978176207665,389.18330330779634,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0055,2.1754037174505005,388.93400986417345,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0056,2.214284484908322,388.68067270041416,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0057,2.253139718877313,388.4233377298639,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0058,2.2919690166068007,388.1619228661567,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0059,2.3307719605569663,387.89621847856966,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.006,2.369548107833662,387.6259412282347,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0061,2.408296988148159,387.3508516241655,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0062,2.4470181167461686,387.0709347066641,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0063,2.485711028040701,386.7866298920219,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0064,2.524375333545284,386.49908105121733,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0065,2.563010804078685,386.210363673298,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0066,2.601617471378567,385.9236369091886,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0067,2.640195736705067,385.6430219803967,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0068,2.6787463819255275,385.3715897533726,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0069,2.7172704357707502,385.1115994797894,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.007,2.7557691657090313,384.8655172360614,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0071,2.7942440772371695,384.63554934997995,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0072,2.8326968618120367,384.42312806171935,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0073,2.8711292974456484,384.22849631618703,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0074,2.9095431163038636,384.0504662689895,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0075,2.9479395703385434,383.87817603417915,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0076,2.9863186702638336,383.70344390202894,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0077,3.024680187725221,383.5265665404448,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0078,3.063023918653076,383.34773973180813,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0079,3.101349675329048,383.1671021119831,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.008,3.1396572827165437,382.9847738751909,0.0,1.0,1.0,3.0,0.0,0.0,0.0,392.20882067288363,392.20882067288363,0.0,2.0
0.0081,-3.105238729375644,382.80087660065624,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0082,-3.066967897485656,382.61552804528077,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0083,-3.0287156691865276,382.42881451461403,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0084,-2.9904821794446312,382.240751517407,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0085,-2.9522675667298146,382.05124904964083,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0086,-2.914071984417892,381.86009990473286,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0087,-2.8758956114992538,381.66700769795153,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0088,-2.8377386579828072,381.4716663259532,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0089,-2.799601359575923,381.27389487964064,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.009,-2.761483956310754,381.07382178144786,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0091,-2.723386651020091,380.8720994091978,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0092,-2.6853095461114806,380.67011710567186,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0093,-2.6472525608817534,380.4701696034891,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0094,-2.609215336167678,380.27553443160815,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0095,-2.5711971521312584,380.08983350597333,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0096,-2.533197005504226,379.91506426560477,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0097,-2.495213715199999,379.75301669321027,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0098,-2.457245918834174,379.6054527366604,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0099,-2.4192920982655277,379.47364988849876,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.01,-2.3813506495312033,379.35798656929484,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0101,-2.343420235842061,379.25004277384267,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0102,-2.3055006838605214,379.1408209066323,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0103,-2.2675921002148978,379.03073840867086,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0104,-2.2296945542715663,378.92010932680927,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0105,-2.191808089708464,378.8091367331391,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0106,-2.153932734272648,378.69794227357283,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0107,-2.1160685060482667,378.58660358730907,0.0,1.0,0.0,2.0,0.0,0.0,0.0,386.41976058914986,390.7615556519502,0.0,3.0
0.0108,-2.078215416241678,378.47518433879634,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0109,-2.0403734697912936,378.3637464777185,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.011,-2.0025426658240266,378.2523410511842,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0111,-1.9647229999782765,378.1409812715625,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0112,-1.9269144699033236,378.02960806753674,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0113,-1.8891170839846456,377.9180626405385,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0114,-1.8513308717998382,377.80608189202945,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0115,-1.8135558932806477,377.6933309680938,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0116,-1.7757922423258807,377.57948285773233,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0117,-1.7380400399408085,377.4643480394254,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0118,-1.7002994121421486,377.3480474472257,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0119,-1.6625704491326256,377.2312098777951,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.012,-1.6248531447809027,377.1151622511521,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0121,-1.5871473191211458,377.00207168619227,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
0.0122,-1.549452530851277,376.89499492199303,1.0,1.0,0.0,6.0,0.0,0.0,0.0,380.79910952603586,388.2709441204716,0.0,4.0
