time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_speed_feedback_rad_s
0.0,45.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0,0.0
1e-05,45.0,0.0,0,0.5,0.050704009412945464,-0.050704009412945464,0.0,0.006174656653769459,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.0003000001080258407,0.0
2e-05,45.0,0.0,0,0.6666666666666666,0.11399602518968019,-0.11399602518968019,0.0,0.012349411366932603,-11.977084770704803,11.976407682313118,30.000205040592988,0.04555794999334601,1.0,-1.0,0.0,48.0,-41.95877536198205,-6.041224638017946,0.0006000012303329543,0.0
3e-05,45.0,0.0,0,0.75,0.17719030902716773,-0.17719030902716773,0.0,0.018524377708565326,-11.977370227737548,11.976354593973186,30.00049606736684,0.07085070418246896,1.0,-1.0,0.0,48.0,-41.955777518987674,-6.044222481012325,0.0009000046304862746,0.0
4e-05,45.0,0.0,0,0.6,0.20759190141127176,-0.20759190141127176,0.0,0.024699658467371436,-11.977701108143378,11.976346927505904,30.00090087189787,0.08305087928125313,0.0,-1.0,0.0,0.0,-17.95284765234391,17.95284765234391,0.001200011556798315,0.0
5e-05,45.0,0.0,0,0.5,0.18618620076465414,-0.18618620076465414,0.0,0.030875216648302287,-11.978027650054429,11.976334928319005,30.001294816192413,0.07452651673208388,0.0,-1.0,0.0,0.0,-17.94991114502207,17.94991114502207,0.0015000225707569447,0.0
6e-05,45.0,0.0,0,0.42857142857142855,0.16479829978399627,-0.16479829978399627,0.0,0.03705100833876732,-11.978337167817967,11.976305918414798,30.001646133858074,0.06600022991540858,0.0,-1.0,0.0,0.0,-17.946948998154397,17.946948998154397,0.001800037311033393,0.0
7e-05,45.0,0.0,0,0.375,0.14342820373769072,-0.14342820373769072,0.0,0.04322700788844291,-11.978629654306182,11.976259897319261,30.001954815306373,0.05747203198142532,0.0,-1.0,0.0,0.0,-17.94396122052813,17.94396122052813,0.002100055351313374,0.0
8e-05,45.0,0.0,0,0.3333333333333333,0.12207591794458857,-0.12207591794458857,0.0,0.049403189635892526,-11.978905102422255,11.976196864589802,30.00222085101466,0.04894193611083445,0.0,-1.0,0.0,0.0,-17.940947820982984,17.940947820982984,0.0024000762651870474,0.0
9e-05,45.0,0.0,0,0.3,0.1007414477738954,-0.1007414477738954,0.0,0.05557952790839898,-11.979163505100486,11.976116819815203,30.00244423152627,0.04040995551482906,0.0,-1.0,0.0,0.0,-17.937908808411244,17.937908808411244,0.002700099626149672,0.0
0.0001,45.0,0.0,0,0.2727272727272727,0.0794247986450676,-0.0794247986450676,0.0,0.06175599702179686,-11.979404855306472,11.976019762615586,30.002624947450666,0.03187610343508647,0.0,-1.0,0.0,0.0,-17.934844191757925,17.934844191757925,0.0030001250076022745,0.0
0.00011,45.0,0.0,0,0.3333333333333333,0.1256946680082861,-0.1256946680082861,0.0,0.06793269713008154,-11.979650813861381,11.975927353568666,30.002817255930147,0.0504724938594513,1.0,-1.0,0.0,48.0,-41.93178641193432,-6.068213588065682,0.003300152127565903,0.0
0.00012,45.0,0.0,0,0.38461538461538464,0.18877066388748676,-0.18877066388748676,0.0,0.07410993742531756,-11.979946054283952,11.97588425449446,30.003133043587837,0.07584048468492186,1.0,-1.0,0.0,48.0,-41.92880231292378,-6.071197687076221,0.0036001817733635278,0.0
0.00013,45.0,0.0,0,0.42857142857142855,0.2517491118247127,-0.2517491118247127,0.0,0.08028783860170517,-11.980291906511212,11.975891793966719,30.003575639895498,0.10119594662197642,1.0,-1.0,0.0,48.0,-41.92589382792147,-6.074106172078526,0.0039002152111331837,0.0
0.00014,45.0,0.0,0,0.4,0.2849867574530466,-0.2849867574530466,0.0,0.08646648397207748,-11.980684170266183,11.975945772396509,30.004134524408638,0.1146168083552329,0.0,-1.0,0.0,0.0,-17.92305461554356,17.92305461554356,0.004200253696416948,0.0
0.00015,45.0,0.0,0,0.375,0.2633614155759196,-0.2633614155759196,0.0,0.09264558537850155,-11.981073454518045,11.975996819798015,30.004686005154745,0.10597517124714494,0.0,-1.0,0.0,0.0,-17.920210754367783,17.920210754367783,0.004500297835071587,0.0
0.00016,45.0,0.0,0,0.35294117647058826,0.24175405674902012,-0.24175405674902012,0.0,0.09882502247615899,-11.981445457593935,11.976030646343075,30.005194272943548,0.09733162760475196,0.0,-1.0,0.0,0.0,-17.917340863901963,17.917340863901963,0.004800347272476846,0.0
0.00017,45.0,0.0,0,0.3333333333333333,0.22016468626318608,-0.22016468626318608,0.0,0.1050047691101171,-11.981800172436575,11.976047251656048,30.005659318274997,0.08868619048338042,0.0,-1.0,0.0,0.0,-17.914444953319276,17.914444953319276,0.005100401576455594,0.0
0.00018,45.0,0.0,0,0.3157894736842105,0.19859330946044823,-0.19859330946044823,0.0,0.11118479911214668,-11.98213759201991,11.976046635392096,30.006081131714396,0.0800388729699418,0.0,-1.0,0.0,0.0,-17.911523031845977,17.911523031845977,0.0054004603147360325,0.0
0.00019,45.0,0.0,0,0.3,0.1770399317339291,-0.1770399317339291,0.0,0.11736508630055284,-11.98245770934926,11.976028797237113,30.00645970389257,0.07138968818292793,0.0,-1.0,0.0,0.0,-17.908575108761468,17.908575108761468,0.0057005230549523386,0.0
0.0002,45.0,0.0,0,0.2857142857142857,0.1555045585277417,-0.1555045585277417,0.0,0.12354560448000683,-11.982760517461465,11.975993736907698,30.006795025506015,0.0627386492724062,0.0,-1.0,0.0,0.0,-17.905601193398425,17.905601193398425,0.006000589364645328,0.0
0.00021,45.0,0.0,0,0.3181818181818182,0.20155588720938256,-0.20155588720938256,0.0,0.12972656627756635,-11.983067794480606,11.975963226127009,30.007141639690648,0.08136079881524458,1.0,-1.0,0.0,48.0,-41.90263384022853,-6.09736615977147,0.006300658956739191,0.0
0.00022,45.0,0.0,0,0.34782608695652173,0.26441352492269704,-0.26441352492269704,0.0,0.1359085137702908,-11.983424455540707,11.975982155594604,30.00761202221052,0.10679008872000591,1.0,-1.0,0.0,48.0,-41.89974012647981,-6.100259873520191,0.006600732619093319,0.0
