time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,duty_cmd,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_speed_feedback_rad_s,hall_timeout,hall_enable,hall_fault,hall_edge_count,gate_ah,gate_al,gate_bh,gate_bl,gate_ch,gate_cl,gate_all_off
0.0,60.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1e-05,60.0,0.0,0.0,0.48047999999999996,0.06756869209662279,-0.06756869209662279,0.0,5.3274119940026865e-15,-2.1541894438701885e-05,2.1541894438409794e-05,5.39596680014182e-05,0.026974918245017906,1.0,-1.0,0.0,48.0,-24.000032312841654,-23.999967687158346,1.439055570456734e-10,0.48047999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
2e-05,60.0,0.0,0.0,0.48096,0.1519256798588009,-0.1519256798588009,0.0,3.0696061193371736e-13,-0.00010900616966109208,0.00010900616964426202,0.0002730463999506556,0.06065209606936129,1.0,-1.0,0.0,48.0,-24.000163509254325,-23.99983649074568,1.6386143236645592e-09,0.48096,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
3e-05,60.0,0.0,0.0,0.48144,0.23616728502916412,-0.23616728502916412,0.0,2.7935984100205496e-12,-0.000263647845134694,0.0002636478449815261,0.000660403857664558,0.09428321129013346,1.0,-1.0,0.0,48.0,-24.000395471766158,-23.999604528233846,6.165735966144672e-09,0.48144,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
4e-05,60.0,0.0,0.0,0.48191999999999996,0.32029354702701923,-0.32029354702701923,0.0,1.2851251064017242e-11,-0.00048537499150016084,0.00048537499079555054,0.0012158017695812922,0.12786828056312835,1.0,-1.0,0.0,48.0,-24.000728062480114,-23.999271937519882,1.540682631492421e-08,0.48191999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
5e-05,60.0,0.0,0.0,0.4824,0.3893613354562873,-0.3893613354562873,0.0,4.123577898736722e-11,-0.0007730427049036841,0.0007730427026428025,0.0019363722984300038,0.1554416762962886,0.0,-1.0,0.0,0.0,-0.0011595640344767566,0.0011595640344767566,3.103958398877229e-08,0.4824,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6e-05,60.0,0.0,0.0,0.48288,0.3888281213563127,-0.3888281213563127,0.0,1.0104793597711637e-10,-0.0010831090411728584,0.001083109035632587,0.0027130484873671267,0.1552288117792751,0.0,-1.0,0.0,0.0,-0.0016246635056950676,0.0016246635056950676,5.4287574853258506e-08,0.48288,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7e-05,60.0,0.0,0.0,0.48335999999999996,0.3882950900895121,-0.3882950900895121,0.0,2.041559087355236e-10,-0.0013927505524035924,0.0013927505412101014,0.003488660541385946,0.15501602236016457,0.0,-1.0,0.0,0.0,-0.002089125715333928,0.002089125715333928,8.529700661961645e-08,0.48335999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8e-05,60.0,0.0,0.0,0.48384,0.3877622421534712,-0.3877622421534712,0.0,3.628508726445233e-10,-0.0017019673890232663,0.0017019673691288234,0.004263208836443636,0.1548033082259596,0.0,-1.0,0.0,0.0,-0.0025529508822150493,0.0025529508822150493,1.2405723981766987e-07,0.48384,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9e-05,60.0,0.0,0.0,0.48432,0.3872295780448102,-0.3872295780448102,0.0,5.893674816902493e-10,-0.002010759701830626,0.002010759669516697,0.005036693749431473,0.1545906695633007,0.0,-1.0,0.0,0.0,-0.003016139225748282,0.003016139225748282,1.705576387414861e-07,0.48432,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0001,60.0,0.0,0.0,0.4848,0.38669709825918375,-0.38669709825918375,0.0,8.958839762606856e-10,-0.0023191276419950676,0.002319127592875406,0.005809115658173036,0.1543781065584659,0.0,-1.0,0.0,0.0,-0.003478690965930953,0.003478690965930953,2.2478757145870838e-07,0.4848,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00011,60.0,0.0,0.0,0.48528,0.45373349538787977,-0.45373349538787977,0.0,1.3057923490695641e-09,-0.002648613266073239,0.002648613194479059,0.006634434635148366,0.18114055133817308,1.0,-1.0,0.0,48.0,-24.00397291917462,-23.99602708082538,2.8688031544333457e-07,0.48528,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00012,60.0,0.0,0.0,0.48575999999999997,0.5375583734934857,-0.5375583734934857,0.0,1.872681932916079e-09,-0.0030435972435430775,0.0030435971408673914,0.007623818531368362,0.21460534294622952,1.0,-1.0,0.0,48.0,-24.004565394826297,-23.9954346051737,3.580321446454833e-07,0.48575999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00013,60.0,0.0,0.0,0.48624,0.6212680548111619,-0.6212680548111619,0.0,2.6500382912856423e-09,-0.0035053347666364008,0.003505334621339702,0.008780411437859058,0.24802415851771,1.0,-1.0,0.0,48.0,-24.00525800067964,-23.994741999320357,4.3991404942803433e-07,0.48624,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00014,60.0,0.0,0.0,0.48672,0.7048625792516849,-0.7048625792516849,0.0,3.7030834608705833e-09,-0.004033734082416418,0.004033733879383201,0.010103983520865516,0.281397016695537,1.0,-1.0,0.0,48.0,-24.006050599069052,-23.99394940093094,5.341969706472414e-07,0.48672,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
